seqNo,ticker,date,open,high,low,close,ex_dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
1,AAPL,2014-12-31,112.82,113.13,110.21,110.38,0.0,1.0,107.18,107.47,104.7,104.86,41403351
2,AAPL,2014-12-30,113.64,113.92,112.11,112.52,0.0,1.0,107.96,108.22,106.5,106.89,29881477
3,AAPL,2014-12-29,113.79,114.77,113.7,113.91,0.0,1.0,108.1,109.03,108.02,108.21,27598920
4,AAPL,2014-12-26,112.1,114.52,112.01,113.99,0.0,1.0,106.5,108.79,106.41,108.29,33720951
5,AAPL,2014-12-24,112.58,112.71,112.01,112.01,0.0,1.0,106.95,107.07,106.41,106.41,14479611
6,AAPL,2014-12-23,113.23,113.33,112.46,112.54,0.0,1.0,107.57,107.66,106.84,106.91,26028419
7,AAPL,2014-12-22,112.16,113.49,111.97,112.94,0.0,1.0,106.55,107.82,106.37,107.29,45167549
8,AAPL,2014-12-19,112.26,113.24,111.66,111.78,0.0,1.0,106.65,107.58,106.08,106.19,88429770
9,AAPL,2014-12-18,111.87,112.65,110.66,112.65,0.0,1.0,106.28,107.02,105.13,107.02,59006218
10,AAPL,2014-12-17,107.12,109.84,106.82,109.41,0.0,1.0,101.76,104.35,101.48,103.94,53411773
11,AAPL,2014-12-16,106.37,110.16,106.26,106.74,0.0,1.0,101.05,104.65,100.95,101.41,60790733
12,AAPL,2014-12-15,110.7,111.6,106.35,108.22,0.0,1.0,105.17,106.02,101.03,102.81,67218082
13,AAPL,2014-12-12,110.46,111.87,109.58,109.73,0.0,1.0,104.94,106.28,104.1,104.24,56028138
14,AAPL,2014-12-11,112.26,113.8,111.34,111.62,0.0,1.0,106.65,108.11,105.77,106.04,41471578
15,AAPL,2014-12-10,114.41,114.85,111.54,111.95,0.0,1.0,108.69,109.11,105.96,106.35,44565318
16,AAPL,2014-12-09,110.19,114.3,109.35,114.12,0.0,1.0,104.68,108.59,103.88,108.41,60208036
17,AAPL,2014-12-08,114.1,114.65,111.62,112.4,0.0,1.0,108.4,108.92,106.04,106.78,57664850
18,AAPL,2014-12-05,115.99,116.08,114.64,115.0,0.0,1.0,110.19,110.28,108.91,109.25,38318895
19,AAPL,2014-12-04,115.77,117.2,115.29,115.49,0.0,1.0,109.98,111.34,109.53,109.72,42155776
20,AAPL,2014-12-03,115.75,116.35,115.11,115.93,0.0,1.0,109.96,110.53,109.35,110.13,43063440
21,AAPL,2014-12-02,113.5,115.75,112.75,114.63,0.0,1.0,107.83,109.96,107.11,108.9,59348940
22,AAPL,2014-12-01,118.81,119.25,111.27,115.07,0.0,1.0,112.87,113.29,105.71,109.32,83814037
23,AAPL,2014-11-28,119.27,119.4,118.05,118.93,0.0,1.0,113.31,113.43,112.15,112.98,24814402
24,AAPL,2014-11-26,117.94,119.1,117.83,119.0,0.0,1.0,112.04,113.15,111.94,113.05,40831886
25,AAPL,2014-11-25,119.07,119.75,117.45,117.6,0.0,1.0,113.12,113.76,111.58,111.72,68840440
26,AAPL,2014-11-24,116.85,118.77,116.62,118.62,0.0,1.0,111.01,112.83,110.79,112.69,47450824
27,AAPL,2014-11-21,117.51,117.57,116.03,116.47,0.0,1.0,111.63,111.69,110.23,110.65,57179298
28,AAPL,2014-11-20,114.91,116.86,114.85,116.31,0.0,1.0,109.16,111.02,109.11,110.49,43395537
29,AAPL,2014-11-19,115.44,115.74,113.8,114.67,0.0,1.0,109.67,109.95,108.11,108.94,41869160
30,AAPL,2014-11-18,113.94,115.69,113.89,115.47,0.0,1.0,108.24,109.91,108.2,109.7,44223978
31,AAPL,2014-11-17,114.27,117.28,113.3,113.99,0.0,1.0,108.56,111.42,107.64,108.29,46746712
32,AAPL,2014-11-14,113.15,114.19,113.05,114.18,0.0,1.0,107.49,108.48,107.4,108.47,44063595
33,AAPL,2014-11-13,111.8,113.45,111.6,112.82,0.0,1.0,106.21,107.78,106.02,107.18,59522855
