seqNo,ticker,date,open,high,low,close,ex_dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
1,COST,2014-12-31,143.49,144.13,141.69,141.75,0.0,1.0,134.66,135.26,132.97,133.02,1485064
2,COST,2014-12-30,143.0,144.09,143.0,143.49,0.0,1.0,134.2,135.22,134.2,134.66,1158803
3,COST,2014-12-29,143.35,143.85,142.74,143.34,0.0,1.0,134.52,134.99,133.95,134.51,1364395
4,COST,2014-12-26,143.61,143.87,143.08,143.44,0.0,1.0,134.77,135.01,134.27,134.61,1233068
5,COST,2014-12-24,144.56,144.86,143.6,143.65,0.0,1.0,135.66,135.95,134.76,134.81,738668
6,COST,2014-12-23,144.53,144.97,143.67,144.15,0.0,1.0,135.63,136.04,134.82,135.27,1464516
7,COST,2014-12-22,142.34,143.27,141.85,143.21,0.0,1.0,133.58,134.45,133.12,134.39,1776902
8,COST,2014-12-19,141.5,142.5,141.33,141.77,0.0,1.0,132.79,133.73,132.63,133.04,4029974
9,COST,2014-12-18,140.18,141.56,139.29,141.56,0.0,1.0,131.55,132.84,130.71,132.84,2903401
10,COST,2014-12-17,137.31,139.62,136.78,139.33,0.0,1.0,128.86,131.02,128.36,130.75,2428540
11,COST,2014-12-16,138.53,139.3,136.55,137.31,0.0,1.0,130.0,130.72,128.14,128.86,2470072
12,COST,2014-12-15,138.65,139.5,137.06,138.19,0.0,1.0,130.11,130.91,128.62,129.68,2456713
13,COST,2014-12-12,139.99,141.36,137.83,137.88,0.0,1.0,131.37,132.66,129.34,129.39,3672019
14,COST,2014-12-11,141.09,142.68,140.67,141.41,0.0,1.0,132.4,133.9,132.01,132.7,2401295
15,COST,2014-12-10,144.94,146.82,139.4,140.25,0.0,1.0,136.02,137.78,130.82,131.62,4919143
16,COST,2014-12-09,142.13,143.13,140.88,143.04,0.0,1.0,133.38,134.32,132.21,134.23,2094901
17,COST,2014-12-08,143.05,143.05,141.95,142.33,0.0,1.0,134.24,134.24,133.21,133.57,1946175
18,COST,2014-12-05,143.18,143.31,141.96,143.25,0.0,1.0,134.36,134.49,133.22,134.43,1198018
19,COST,2014-12-04,143.49,143.49,142.02,143.02,0.0,1.0,134.66,134.66,133.28,134.21,1324093
20,COST,2014-12-03,142.98,143.3,141.98,142.69,0.0,1.0,134.18,134.48,133.24,133.9,1795877
21,COST,2014-12-02,142.43,143.35,141.76,143.06,0.0,1.0,133.66,134.52,133.03,134.25,1765406
22,COST,2014-12-01,143.32,143.32,141.27,141.98,0.0,1.0,134.5,134.5,132.57,133.24,1952149
23,COST,2014-11-28,141.3,142.97,140.31,142.12,0.0,1.0,132.6,134.17,131.67,133.37,1442598
24,COST,2014-11-26,139.5,140.88,139.04,139.75,0.0,1.0,130.91,132.21,130.48,131.15,1631937
25,COST,2014-11-25,140.1,140.35,138.74,138.87,0.0,1.0,131.47,131.71,130.2,130.32,1865793
26,COST,2014-11-24,139.33,139.99,139.19,139.8,0.0,1.0,130.75,131.37,130.62,131.19,1645815
27,COST,2014-11-21,140.8,140.83,139.23,139.72,0.0,1.0,132.13,132.16,130.66,131.12,1849219
28,COST,2014-11-20,139.06,140.01,139.02,139.25,0.0,1.0,130.5,131.39,130.46,130.68,1518294
29,COST,2014-11-19,139.09,140.14,139.09,140.01,0.0,1.0,130.53,131.52,130.53,131.39,1362597
30,COST,2014-11-18,138.48,139.34,138.04,139.21,0.0,1.0,129.95,130.76,129.54,130.64,1574757
31,COST,2014-11-17,137.21,138.5,137.21,138.47,0.0,1.0,128.76,129.97,128.76,129.94,1228116
32,COST,2014-11-14,138.93,138.93,138.07,138.48,0.0,1.0,130.38,130.38,129.57,129.95,1598624
33,COST,2014-11-13,137.64,138.76,137.34,138.71,0.0,1.0,129.17,130.22,128.88,130.17,2235941
34,COST,2014-11-12,136.7,137.35,136.15,136.9,0.355,1.0,128.28,128.89,127.77,128.47,1910222
35,COST,2014-11-11,137.78,137.95,136.66,137.05,0.0,1.0,128.96,129.12,127.91,128.28,1495574
36,COST,2014-11-10,137.85,137.89,135.98,137.69,0.0,1.0,129.03,129.07,127.28,128.88,1958039
37,COST,2014-11-07,137.05,137.91,136.52,137.71,0.0,1.0,128.28,129.08,127.78,128.9,1589448
38,COST,2014-11-06,137.39,137.67,136.6,137.09,0.0,1.0,128.6,128.86,127.86,128.32,1685940
39,COST,2014-11-05,137.49,137.81,136.03,136.5,0.0,1.0,128.69,128.99,127.32,127.76,2116797
40,COST,2014-11-04,134.61,136.72,133.99,136.55,0.0,1.0,126.0,127.97,125.42,127.81,2802823
41,COST,2014-11-03,133.82,134.29,133.37,134.27,0.0,1.0,125.26,125.7,124.83,125.68,1949226
42,COST,2014-10-31,134.45,134.5,132.71,133.37,0.0,1.0,125.85,125.89,124.22,124.83,2373896
43,COST,2014-10-30,131.5,133.31,131.33,133.0,0.0,1.0,123.08,124.78,122.93,124.49,1302063
44,COST,2014-10-29,131.29,132.0,130.93,131.93,0.0,1.0,122.89,123.55,122.55,123.49,1705814
